iter	Logloss
0	0.6911551616
1	0.6885709805
2	0.6864354402
3	0.6840327962
4	0.6823676151
5	0.679958686
6	0.678113512
7	0.6752198445
8	0.6733762539
9	0.6715224213
10	0.6692252921
11	0.6682677218
12	0.666219554
13	0.6633536008
14	0.6614086488
15	0.6599269248
16	0.6569288262
17	0.6546264778
18	0.6530403404
19	0.6504692556
20	0.6479054389
21	0.6461996822
22	0.6438988623
23	0.6421606817
24	0.6397950765
25	0.6371855864
26	0.6346316275
27	0.632443819
28	0.6302169371
29	0.6284421279
30	0.6263841637
31	0.624789157
32	0.6230006936
33	0.6214441368
34	0.6193658887
35	0.6171303233
36	0.6145047886
37	0.612682355
38	0.6111465224
39	0.6094402584
40	0.6080781485
41	0.6067514807
42	0.6050599931
43	0.6030279793
44	0.600515491
45	0.5975244554
46	0.5962822319
47	0.5944023278
48	0.5927441006
49	0.5907728137
50	0.5887090928
51	0.5863792173
52	0.585002464
53	0.5838272794
54	0.5823134321
55	0.5800771134
56	0.5786066573
57	0.5774932433
58	0.5757601675
59	0.5736947962
60	0.5722831728
61	0.5701537051
62	0.5678848702
63	0.5657252727
64	0.5638747496
65	0.5623870769
66	0.5606372468
67	0.5588271875
68	0.5574718943
69	0.5560600497
70	0.554428916
71	0.5529987502
72	0.5517122005
73	0.5503465578
74	0.5489051413
75	0.5475548282
76	0.5458903217
77	0.5446431196
78	0.5432969167
79	0.54184687
80	0.5405230026
81	0.5395209132
82	0.5380185228
83	0.5368142037
84	0.5350962565
85	0.5338748536
86	0.5329378546
87	0.5318297094
88	0.5302456247
89	0.5290932719
90	0.5276819462
91	0.525748334
92	0.5242211985
93	0.5231872796
94	0.5214153925
95	0.5201746567
96	0.5186887781
97	0.5174354707
98	0.5161378985
99	0.514295476
100	0.5128205185
101	0.5114134291
102	0.510526153
103	0.5093456518
104	0.5080399455
105	0.5070913043
106	0.5057668763
107	0.5053229504
108	0.5040744484
109	0.5019867182
110	0.5007443412
111	0.4992156724
112	0.4976540996
113	0.4963927326
114	0.4948890474
115	0.4933709882
116	0.4922444728
117	0.4912210874
118	0.490034098
119	0.4891674019
120	0.4879719127
121	0.4866638245
122	0.4850010595
123	0.4832724737
124	0.4818130093
125	0.4807064062
126	0.4796997058
127	0.4783997598
128	0.4773943249
129	0.4761740493
130	0.4744376331
131	0.4732886624
132	0.4722702236
133	0.4712339309
134	0.469914746
135	0.4687000605
136	0.4676623754
137	0.4665154908
138	0.4653713397
139	0.4642597001
140	0.4632451556
141	0.4625684399
142	0.4617277936
143	0.4605099625
144	0.4592890487
145	0.4577815499
146	0.4563947998
147	0.4550297593
148	0.4539962419
149	0.4529788231
150	0.4518374919
151	0.4510475442
152	0.4497529563
153	0.4485474657
154	0.44776438
155	0.4469621582
156	0.4458638023
157	0.4450862077
158	0.4437720846
159	0.4426801938
160	0.4419192318
161	0.4409285419
162	0.4402840266
163	0.4391993569
164	0.438382369
165	0.4375385129
166	0.4363047059
167	0.4351313528
168	0.4340188944
169	0.4327389095
170	0.4313266607
171	0.4306873542
172	0.4300090393
173	0.4290386564
174	0.4278702159
175	0.4269544649
176	0.4261621969
177	0.4249892618
178	0.4238380872
179	0.42287699
180	0.4217187195
181	0.4209051519
182	0.4202303534
183	0.418875486
184	0.4179029962
185	0.4165336822
186	0.4153294879
187	0.4142976653
188	0.413289085
189	0.4117571679
190	0.411026806
191	0.410068464
192	0.4090066315
193	0.4080534324
194	0.4074583874
195	0.4064758784
196	0.4055002224
197	0.404656672
198	0.4036916527
199	0.4025037341
200	0.4020465286
201	0.4013793677
202	0.400682924
203	0.400329405
204	0.3992180724
205	0.3986760141
206	0.3980281594
207	0.3971996847
208	0.3963770628
209	0.3952615275
210	0.3940814268
211	0.3931730771
212	0.3922131567
213	0.3914634704
214	0.3903430337
215	0.3892752918
216	0.3882878435
217	0.3875942715
218	0.3866358677
219	0.3855904009
220	0.3845974992
221	0.3835768705
222	0.38271079
223	0.3817660614
224	0.3810281385
225	0.3800473293
226	0.3794169916
227	0.3788825422
228	0.3780006827
229	0.377371097
230	0.3768025415
231	0.3758679338
232	0.3754622082
233	0.3745854732
234	0.3739765791
235	0.3731786839
236	0.3724751479
237	0.3716254632
238	0.3709534987
239	0.3700682415
240	0.3692764685
241	0.3683339133
242	0.3674555639
243	0.3667181953
244	0.3659430418
245	0.3652340583
246	0.3647391451
247	0.3639595523
248	0.3632146545
249	0.3623898902
250	0.3616101773
251	0.3608549745
252	0.3606055512
253	0.3600291055
254	0.3594289027
255	0.3585674466
256	0.3580224064
257	0.3574412474
258	0.3565231368
259	0.3552844506
260	0.3545624658
261	0.3541178923
262	0.3531620188
263	0.352493705
264	0.3519389647
265	0.3513753962
266	0.3505491371
267	0.3498185904
268	0.3493018657
269	0.3489235324
270	0.3484379997
271	0.3474707667
272	0.3469150667
273	0.3465013406
274	0.3459675905
275	0.3449995811
276	0.3443687109
277	0.343719331
278	0.3428124725
279	0.3421241097
280	0.3417204647
281	0.3414244394
282	0.3405448613
283	0.3399300006
284	0.3390964251
285	0.3385995901
286	0.3379825238
287	0.3371596047
288	0.3360746648
289	0.335441696
290	0.3350368399
291	0.3344776924
292	0.3338786353
293	0.3330360435
294	0.3321251865
295	0.3313428711
296	0.33075983
297	0.3300202631
298	0.3293838004
299	0.3290420399
300	0.3283357301
301	0.3275497421
302	0.3268770641
303	0.3263452007
304	0.3260264342
305	0.3254294108
306	0.3247734567
307	0.3241181291
308	0.3235570466
309	0.3231222958
310	0.3224798977
311	0.3219351787
312	0.3211280396
313	0.3204510388
314	0.3198844368
315	0.3190436711
316	0.3185138956
317	0.3176811732
318	0.3169036294
319	0.3162666004
320	0.3155869518
321	0.3149205974
322	0.3141011057
323	0.313516669
324	0.3130720768
325	0.3123426688
326	0.3115621196
327	0.3110088515
328	0.3107447147
329	0.3100190809
330	0.3094339335
331	0.3087224877
332	0.3081179071
333	0.3076430258
334	0.3067088086
335	0.3063437001
336	0.3059568412
337	0.3053857417
338	0.3048399197
339	0.3042474226
340	0.3037679556
341	0.3031857072
342	0.3027057895
343	0.3018903406
344	0.3012784513
345	0.3005943349
346	0.3000187824
347	0.299258522
348	0.2987280251
349	0.2983450402
350	0.2977864967
351	0.2970898587
352	0.2967828908
353	0.2961705337
354	0.2955720504
355	0.2948008548
356	0.2941995185
357	0.2936736111
358	0.293248889
359	0.2926657582
360	0.2918944359
361	0.2915085311
362	0.2909004862
363	0.2902135702
364	0.2897404043
365	0.289138381
366	0.2885968939
367	0.2881478681
368	0.2874235218
369	0.2871181843
370	0.2866075091
371	0.2859528575
372	0.2851882496
373	0.2844071773
374	0.2839202187
375	0.283312274
376	0.2825539312
377	0.2816701987
378	0.2811145212
379	0.2808250024
380	0.2804141468
381	0.2797524251
382	0.2790375051
383	0.2787079596
384	0.278022415
385	0.2773763261
386	0.2769390565
387	0.276368003
388	0.2757546586
389	0.2750879515
390	0.2744429705
391	0.2738873163
392	0.2733670098
393	0.2728735972
394	0.2724877921
395	0.2720241606
396	0.2718814231
397	0.2712928049
398	0.2709264236
399	0.2705877066
400	0.2701260946
401	0.2698389908
402	0.2691929088
403	0.268812622
404	0.2682898955
405	0.2680355075
406	0.2675796921
407	0.2671010396
408	0.2666779199
409	0.2661940481
410	0.2655011373
411	0.2651479827
412	0.2649229345
413	0.2643498529
414	0.2638584251
415	0.2634353411
416	0.2628072618
417	0.2624674956
418	0.2618721807
419	0.2611883622
420	0.2606497725
421	0.2600519454
422	0.2594303563
423	0.2590156586
424	0.2585056014
425	0.2582307957
426	0.2579372213
427	0.257592324
428	0.2573059735
429	0.2568946953
430	0.2562204426
431	0.2558074975
432	0.2554724818
433	0.2549604216
434	0.2546368172
435	0.2542904378
436	0.2538457499
437	0.253373209
438	0.2530051802
439	0.2525811447
440	0.2520865436
441	0.25148933
442	0.2509850236
443	0.2505997374
444	0.2502495628
445	0.2497835564
446	0.2494553109
447	0.2489060877
448	0.2485488626
449	0.2482375394
450	0.247962293
451	0.2474874566
452	0.2472454231
453	0.2468985651
454	0.2467494611
455	0.2462719691
456	0.2458389796
457	0.2454449897
458	0.2449226627
459	0.2445836178
460	0.2441759929
461	0.2438134346
462	0.2434026582
463	0.2428658194
464	0.2424832616
465	0.2418256717
466	0.2414426946
467	0.241162277
468	0.2409126228
469	0.2403858741
470	0.2399493198
471	0.2396051658
472	0.2389880815
473	0.238601333
474	0.2381956074
475	0.2378629898
476	0.2374417256
477	0.2370995577
478	0.2367913654
479	0.236423828
480	0.235835896
481	0.2354906722
482	0.2350492901
483	0.2347009773
484	0.2343469922
485	0.2338827472
486	0.2333403162
487	0.2330108066
488	0.2327767158
489	0.2327122588
490	0.2321023002
491	0.2317094667
492	0.2312419052
493	0.2307569664
494	0.2304219557
495	0.2300890268
