iter	Logloss
0	0.6866480259
1	0.6800388845
2	0.6733766054
3	0.6675550404
4	0.6619816662
5	0.6558893808
6	0.6489990644
7	0.6430490259
8	0.6367373469
9	0.6303367617
10	0.6245737154
11	0.618995538
12	0.6137297588
13	0.6085301409
14	0.6045566064
15	0.5991874922
16	0.5945888198
17	0.5901900975
18	0.586272162
19	0.5820026534
20	0.5785685092
21	0.5745818658
22	0.5707766419
23	0.5669084004
24	0.5636183373
25	0.559765486
26	0.5546155757
27	0.5504088007
28	0.5457676223
29	0.5424375705
30	0.5393297883
31	0.535561718
32	0.5319880825
33	0.5298214973
34	0.5263465873
35	0.5229430196
36	0.5190542548
37	0.5157416899
38	0.513194239
39	0.5098964682
40	0.5069065064
41	0.5040153256
42	0.5005479342
43	0.4976991798
44	0.4940483282
45	0.4909830964
46	0.4887013906
47	0.4861039124
48	0.4835106427
49	0.4810449688
50	0.479348112
51	0.4771299479
52	0.4745608876
53	0.4714152603
54	0.468570344
55	0.4657162693
56	0.4634414804
57	0.4607844023
58	0.4578767972
59	0.4555028892
60	0.4531774609
61	0.4512290566
62	0.4491452228
63	0.4468211675
64	0.4441268796
65	0.4414434678
66	0.4391046434
67	0.4374998365
68	0.4349715766
69	0.4334697958
70	0.4315294243
71	0.4293009705
72	0.4268378193
73	0.4247071347
74	0.4232572329
75	0.4218787959
76	0.4197515321
77	0.4179657328
78	0.4157917493
79	0.4137496099
80	0.4116650071
81	0.4101222717
82	0.4074134599
83	0.405492254
84	0.4038925923
85	0.4023386332
86	0.4008302558
87	0.3985528454
88	0.3969299858
89	0.3951108352
90	0.3934958228
91	0.3909338603
92	0.3888783187
93	0.386914903
94	0.3848103945
95	0.3833291287
96	0.3819475224
97	0.3810273058
98	0.3792876204
99	0.3778249984
100	0.3764183716
101	0.3752219912
102	0.3735405414
103	0.3722483774
104	0.3706443374
105	0.3687683056
106	0.3670298909
107	0.3655910575
108	0.3643155337
109	0.3632350011
110	0.3615950977
111	0.3595874382
112	0.3584638444
113	0.3571056875
114	0.3554587717
115	0.3537531819
116	0.3524213589
117	0.3513534561
118	0.3501312916
119	0.3488516292
120	0.3479956395
121	0.3465717113
