iter	Passed	Remaining
370	1193	2023
371	1195	2018
372	1198	2014
373	1200	2010
374	1203	2005
375	1206	2001
376	1208	1997
377	1211	1993
378	1213	1988
379	1216	1985
380	1219	1980
381	1221	1976
382	1224	1972
383	1226	1968
384	1229	1964
385	1232	1959
386	1234	1955
387	1237	1951
388	1239	1947
389	1242	1943
390	1244	1939
391	1248	1935
392	1250	1931
393	1253	1927
394	1256	1923
395	1258	1920
396	1261	1915
397	1264	1912
398	1266	1908
399	1269	1904
400	1272	1900
401	1275	1896
402	1277	1892
403	1280	1889
404	1283	1885
405	1286	1881
406	1289	1878
407	1292	1874
408	1294	1871
409	1297	1867
410	1300	1863
411	1303	1860
412	1306	1856
413	1308	1852
414	1311	1848
415	1314	1845
416	1317	1841
417	1319	1837
418	1322	1834
419	1325	1830
420	1328	1826
421	1331	1823
422	1333	1819
423	1336	1815
424	1339	1811
425	1341	1807
426	1344	1804
427	1347	1800
428	1350	1796
429	1352	1793
430	1355	1789
431	1358	1785
432	1361	1782
433	1364	1779
434	1366	1775
