iter	Logloss
0	0.6854284842
1	0.6784079529
2	0.6714435964
3	0.6645950644
4	0.6579008209
5	0.6515965906
6	0.645421737
7	0.6394713448
8	0.6337434108
9	0.6286044349
10	0.6231083704
11	0.6180842381
12	0.6124893238
13	0.6078357278
14	0.6034899353
15	0.5991138961
16	0.5950755298
17	0.5911393312
18	0.5871773992
19	0.5825863382
20	0.5788849538
21	0.5753602032
22	0.5719129422
23	0.5682151126
24	0.5651022711
25	0.5619749546
26	0.5586326081
27	0.5558650115
28	0.5531391886
29	0.5504337444
30	0.5480865141
31	0.5447300436
32	0.5424092428
33	0.5397523023
34	0.5375311188
35	0.5354648321
36	0.5335236632
37	0.5314171802
38	0.529434119
39	0.5272172896
40	0.5254034308
41	0.5232595681
42	0.5213675663
43	0.5198721161
44	0.5182106988
45	0.5167248766
46	0.5154073888
47	0.5134588456
48	0.5121603105
49	0.5105956571
50	0.5090260752
51	0.5072609046
52	0.506114772
53	0.5050288147
54	0.503873122
55	0.5025980799
56	0.5010399535
57	0.4998705006
58	0.4984439876
59	0.4974832941
60	0.4964329779
61	0.495491526
62	0.4943781814
63	0.4936173654
64	0.4925570684
65	0.4914917101
66	0.4903111944
67	0.4896861963
68	0.4886708866
69	0.4878157704
70	0.4870381287
71	0.4861866543
72	0.4852288875
73	0.4841769272
74	0.48321879
75	0.4824908496
76	0.4814923662
77	0.4808284906
78	0.48002466
79	0.4792028625
80	0.4784490767
81	0.4777942917
82	0.4770941677
83	0.4762293684
84	0.4754085332
85	0.4748773853
86	0.4742603054
87	0.4733670565
88	0.4726213463
89	0.4720845862
90	0.4717004058
91	0.4710935371
92	0.4704832136
93	0.4697323946
94	0.4691504647
95	0.4684675752
96	0.4677953264
97	0.4672333256
98	0.4665216559
99	0.4661224448
100	0.465778541
101	0.4652798355
102	0.464614603
103	0.464109157
104	0.4636780634
105	0.4629007343
106	0.462425006
107	0.4620869295
108	0.4617192356
109	0.4613258071
110	0.4604342119
111	0.4600592862
112	0.4596542636
113	0.4591699909
114	0.4587600877
115	0.4582423958
116	0.4579677665
117	0.4574694045
118	0.4570570908
119	0.4568210354
120	0.4563676415
121	0.4558634038
122	0.4556529568
123	0.4552893272
124	0.4548875467
125	0.4546004624
126	0.4543805164
127	0.4539056961
128	0.4535086625
129	0.4531060694
130	0.4527062468
131	0.4522765813
132	0.4518784086
133	0.4515146974
134	0.4510687809
135	0.4506510946
136	0.4501474783
137	0.4498945173
138	0.4496008961
139	0.4493358789
140	0.4488392208
141	0.4486376918
142	0.4483397077
143	0.4479917953
144	0.4477857364
145	0.4474179356
146	0.4469768133
147	0.4466160087
148	0.446207673
149	0.4458173717
150	0.4455189361
151	0.4452484622
152	0.4449563059
153	0.4446409338
154	0.4443942258
155	0.4438708937
156	0.4435663874
157	0.4431851615
158	0.4429018094
159	0.4426720438
160	0.4421742653
161	0.4420328883
162	0.4414812853
163	0.4410816427
164	0.4406394971
165	0.4403871078
166	0.4399547407
167	0.4394791233
168	0.4391247431
169	0.4388136938
170	0.4384275521
171	0.4379961982
172	0.4377006704
173	0.4375234604
174	0.4371252994
175	0.4367467615
176	0.4363266889
177	0.4359203672
178	0.4357160118
179	0.4353098522
180	0.4346280064
181	0.4343213208
182	0.4340662685
183	0.4338147307
184	0.4335712979
185	0.4332287234
186	0.4330399381
187	0.4327083941
188	0.4325417642
189	0.4324472211
190	0.4321533937
191	0.4319939951
192	0.4318133043
193	0.4315438568
194	0.4313449828
195	0.430960825
196	0.4307449525
197	0.4303837314
198	0.4298345795
199	0.4295004256
200	0.4291749297
201	0.4289162078
202	0.4287912941
203	0.4286215171
204	0.4283923869
205	0.4279922329
206	0.4276716087
207	0.427441566
208	0.4270982593
209	0.4267307068
210	0.4264452981
211	0.426307378
212	0.4260886888
213	0.4257889412
214	0.4254279288
215	0.425138156
216	0.4250351903
217	0.4247902998
218	0.4245112561
219	0.4243136908
220	0.4239294405
221	0.4237016028
222	0.4234995012
223	0.4232356148
224	0.4230353375
225	0.422669174
226	0.4225305546
227	0.4222826995
228	0.4220884252
229	0.4217873033
230	0.4214896545
231	0.4211650084
232	0.4208884234
233	0.4206146345
234	0.4204099845
235	0.4202859703
236	0.4200866313
237	0.4198959995
238	0.4197480183
239	0.4196121031
240	0.4193274046
241	0.4190910957
242	0.4187030666
243	0.4183714804
244	0.4180485642
245	0.4176984962
246	0.417543971
247	0.4171320179
248	0.416969408
249	0.41685015
250	0.4166725714
251	0.4163158936
252	0.4161104865
253	0.4156097194
254	0.4152446792
255	0.4148369965
256	0.4143806951
257	0.41422294
258	0.4139394617
259	0.4136478722
260	0.4132166021
261	0.4128533362
262	0.4123801079
263	0.4122122466
264	0.4118607992
265	0.4116646366
266	0.4115178859
267	0.4114203655
268	0.411245883
269	0.4109231447
270	0.4106829935
271	0.4106049859
272	0.4104193226
273	0.4101298697
274	0.4099566778
275	0.4098026347
276	0.4095339446
277	0.4093168428
278	0.4090717619
279	0.4087780633
280	0.4085544765
281	0.4083126853
282	0.4081473536
283	0.407734312
284	0.4073920776
285	0.4071087908
286	0.4068159768
287	0.4065695179
288	0.406319052
289	0.4059540876
290	0.4057199107
291	0.4052897081
292	0.405160887
293	0.4048369711
294	0.4046111464
295	0.4043978925
296	0.4042740505
297	0.4041075821
298	0.403954312
299	0.4036520092
300	0.4034730831
301	0.4033139498
302	0.4029619056
303	0.4027647475
304	0.4026557723
305	0.4023640326
306	0.4022615916
307	0.4019437905
308	0.4017179832
309	0.4015140469
310	0.401233895
311	0.4010133175
312	0.4007225114
313	0.4004287573
314	0.4000794907
315	0.3999451452
